,,"This is the list of HEVC Standard Essential Patents included in the HEVC Advance Patent Portfolio License as of January 2022. The evaluation of patents by the independent Patent Evaluator is ongoing, and this list will be updated as new patents are determined to be HEVC Standard Essential Patents. This list identifies the number of claims of each patent evaluated to be an HEVC Standard Essential Patent. Each listed patent may include additional essential claims that have not yet been evaluated. The sections of the HEVC/H.265 standard are identified by way of example only. Other sections of the standard may also be relevant to each corresponding patent.",,,,,,,
Count (Claims),Count (Patents),Profile,Country,Patent Number,Claim Number,Category,Licensor,Est. Exp. Date,"Representative HEVC/H.265 Sections (Version 2, unless otherwise specified)"
67,64,Main/Main10,AL,AL7721,1,Decoder,Samsung,20300723,"6.3.2, 7.3.2.2.1, 7.3.8.4, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 8.1"
68,65,Main/Main10,AL,AL7722,,,Samsung,,See Note
69,66,Main/Main10,AL,AL7756,,,Samsung,,See Note
70,67,Main/Main10,AL,AL7796,,,Samsung,,See Note
71,68,Main/Main10,AL,AL7797,1,Decoder,Samsung,20310817,"7.3.2.2.1, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.4.3.2.1, 7.4.9.5, 7.4.9.8, 8.4.1, 8.4.4.1, 8.6.2, 8.6.4.1"
72,69,Main/Main10,AL,AL7798,,,Samsung,,See Note
73,70,Main/Main10,AL,AL7812,,,Samsung,,See Note
74,71,Main/Main10,AL,AL7876,,,Samsung,,See Note
75,72,Main/Main10,AL,AL7890,1,Decoder,Samsung,20310114,"3, 6.2, 6.3.2, 7.3.2.2.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.6, 7.3.8.8, 7.3.8.10, 7.3.8.11, 7.4.3.2.1, 7.4.9.2, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 7.4.9.11, 8.1.1, 8.5.1, 8.5.2, 8.6.2, 8.6.3, 8.6.4.1, 8.6.7, 9.3.1"
76,73,Main/Main10,AL,AL7921,1,Decoder,Samsung,20300816,"6.2, 6.3.2, 7.3.2.2.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.7.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 8.1.1, A.3.1, A.3.2"
77,74,Main/Main10,AL,AL7964,,,Samsung,,See Note
78,75,Main/Main10,AL,AL7976,1,Decoder,Huawei,20320622,"7.3.2.2.1, 7.4.3.2.1, 7.4.3.3.2, 7.4.9.3, 8.7.1, 8.7.3.1, 8.7.3.2, 9.3.3.1, 9.3.3.2"
79,76,Main/Main10,AL,AL8034,1,Bitstream,DIAB,20321106,"6.3.2, 7.3.8.11, 7.4.3.3.1, 7.4.9.10, 7.4.9.11"
80,77,Main/Main10,AL,AL8044,,,Samsung,,See Note
81,78,Main/Main10,AL,AL8060,1,Decoder,Samsung,20300816,"6.2, 6.3.2, 7.3.2.2.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.7.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 7.4.9.11, 8.1.1, A.3.1, A.3.2"
82,79,Main/Main10,AL,AL8061,1,Decoder,Samsung,20300816,"6.2, 6.3.2, 7.3.2.2.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.7.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 8.1.1, A.3.1, A.3.2"
83,80,Main/Main10,AL,AL8062,1,Decoder,Samsung,20300816,"6.2, 6.3.2, 7.3.2.2.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.3.8.5, 7.3.8.8, 7.4.3.2.1, 7.4.7.1, 7.4.9.4, 7.4.9.5, 7.4.9.8, 7.4.9.10, 8.1.1, 8.1.3, 8.4.1, 8.5.1"
84,81,Main/Main10,AL,AL8273,1,Decoder,Samsung,20340106,"6.3.1, 7.3.2.3.1, 7.3.6.1, 7.3.8.1, 7.3.8.2, 7.3.8.4, 7.4.3.3.1, 7.4.7.1, 7.4.9.1, 7.4.9.4, 9.3.1, 9.3.2.1, 9.3.2.2, 9.3.4.1"
